density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.01	1	-0.00077807	0	0.0643914	0
1	0.01	2	-0.00076372	1.01467e-05	0.054949	0.00667919
1	0.01	3	-0.000705465	4.80441e-05	0.0416492	0.0117526
1	0.01	4	-0.000806208	9.43947e-05	0.0594927	0.0175891
1	0.01	5	-0.000728492	0.000102637	0.0696825	0.0152243
1	0.01	6	-0.000713294	8.66491e-05	0.0906836	0.0218915
1	0.01	7	-0.00068444	7.8929e-05	0.0778106	0.0222559
1	0.01	8	-0.000677603	6.93583e-05	0.0709337	0.0204871
1	0.01	9	-0.000720587	7.37785e-05	0.0746769	0.0183386
1	0.01	10	-0.00069966	6.93052e-05	0.0672738	0.0179724
1	0.01	11	-0.000701067	6.3019e-05	0.0667878	0.0163406
1	0.01	12	-0.000688541	5.89991e-05	0.0618856	0.0157144
1	0.01	13	-0.000711483	5.87523e-05	0.064068	0.0145783
1	0.01	14	-0.000697185	5.62686e-05	0.0595353	0.0142471
1	0.01	15	-0.00069953	5.25662e-05	0.0603612	0.0133171
1	0.01	16	-0.000690154	5.01099e-05	0.0570572	0.0129007
1	0.01	17	-0.000693318	4.72621e-05	0.059888	0.0124315
1	0.01	18	-0.000696762	4.47617e-05	0.0637033	0.0122824
1	0.01	19	-0.000693268	4.2542e-05	0.0615645	0.0118213
1	0.01	20	-0.000700623	4.10458e-05	0.0619276	0.011217
1	0.01	21	-0.000693487	3.97067e-05	0.0593585	0.010981
1	0.01	22	-0.000684138	3.8987e-05	0.0568136	0.0107844
1	0.01	23	-0.000676624	3.80092e-05	0.0543638	0.0105988
1	0.01	24	-0.000680161	3.65897e-05	0.054383	0.0101497
1	0.01	25	-0.000680869	3.5133e-05	0.0542392	0.00974349
1	0.01	26	-0.000677513	3.39417e-05	0.0536319	0.00939097
1	0.01	27	-0.000678713	3.27058e-05	0.0530585	0.00905612
1	0.01	28	-0.00067756	3.1558e-05	0.0536936	0.00875239
1	0.01	29	-0.000671828	3.09861e-05	0.0518572	0.00864657
1	0.01	30	-0.000669151	3.00687e-05	0.0506555	0.00844321
1	0.01	31	-0.000667899	2.91248e-05	0.0497636	0.00821777
1	0.01	32	-0.000678032	2.99254e-05	0.0529166	0.00853479
1	0.01	33	-0.000693466	3.27577e-05	0.055216	0.00854934
1	0.01	34	-0.000688108	3.22294e-05	0.0536076	0.00845322
1	0.01	35	-0.00069621	3.23109e-05	0.0554095	0.00839274
1	0.01	36	-0.000699584	3.1589e-05	0.0565648	0.00823491
1	0.01	37	-0.000699812	3.07361e-05	0.0560471	0.00802674
1	0.01	38	-0.000696895	3.00654e-05	0.0549648	0.0078905
1	0.01	39	-0.000699982	2.94524e-05	0.0581336	0.00827247
1	0.01	40	-0.000703946	2.89818e-05	0.0601802	0.00830755
1	0.01	41	-0.000701951	2.83435e-05	0.0595716	0.00812903
1	0.01	42	-0.000697412	2.80297e-05	0.058167	0.00805997
1	0.01	43	-0.000698072	2.73856e-05	0.0584483	0.00787681
1	0.01	44	-0.000705425	2.77328e-05	0.0615723	0.00828385
1	0.01	45	-0.000717191	2.9507e-05	0.0650561	0.00879141
1	0.01	46	-0.000713216	2.9132e-05	0.0643963	0.00862766
1	0.01	47	-0.000725304	3.09183e-05	0.0678289	0.00908995
1	0.01	48	-0.00073196	3.09824e-05	0.0691088	0.00898176
1	0.01	49	-0.000729848	3.0422e-05	0.0681563	0.00885043
1	0.01	50	-0.000732022	2.98911e-05	0.0681603	0.0086696
1	0.01	51	-0.000730192	2.9361e-05	0.0677605	0.00851051
